[MCMC_samples]
report.type: MCMC_samples
mcmc_samples:
catchability[CPUEq].q process[BHrecruitment].r0 selectivity[FishingSel].a50 selectivity[FishingSel].ato95
3.03404e-05 1.18556e+06 8.03225 2.46464
2.84138e-05 1.33848e+06 8.41916 3.46521
8.41944e-05 575750 8.63285 3.14332
0.000102073 405153 8.21299 3.03056
7.35986e-05 527574 8.57626 2.84155
0.000124976 362601 8.88786 3.47038
0.000125446 345433 8.69401 3.46798
0.000170222 280322 8.75238 2.8622
0.000161271 269510 8.31407 3.51672
0.000220089 259941 8.94885 3.39851
0.000227354 265796 9.37972 4.07127
0.000225325 275028 9.26003 3.58511
0.000194231 298865 9.63876 3.94622
0.000196553 264984 9.13821 3.61249
0.000181995 283386 9.02042 3.47626
0.00015219 330395 9.40753 4.48508
5.14003e-05 777170 8.54565 2.48904
0.000155059 317114 8.50232 2.96488
0.000130576 356702 8.81826 3.4408
0.000140742 318074 7.81504 2.3104
4.75235e-05 872817 8.1115 2.73801
0.000108248 442803 8.47526 2.81224
4.95195e-05 755706 8.53808 2.69786
0.000110991 380831 8.31593 3.4053
0.00014892 291470 8.4623 3.21293
0.00015076 344690 9.5728 4.27336
0.00012453 356890 8.40321 3.14455
0.00012276 355027 8.71018 3.13721
0.000188529 286189 9.26473 4.47498
0.00012851 330593 8.258 2.3387
7.85816e-05 558198 8.81707 3.35721
8.98604e-05 453575 8.07611 2.85239
9.22549e-05 476320 8.76409 3.34055
9.5754e-05 440127 8.50964 3.74646
0.000106541 367751 8.88974 3.87928
0.00010038 396754 8.30745 3.03775
0.0001209 355890 9.02483 3.82836
0.000114943 451446 9.11912 3.1543
9.66085e-05 419496 8.44641 4.21603
0.000114782 351002 7.63183 2.33797
0.000128069 297585 7.53374 2.95716
0.000130463 330828 8.19822 2.71026
9.72486e-05 427809 7.96035 2.82276
0.000126368 365279 8.44527 3.55132
5.22629e-05 709068 8.48784 3.42188
9.18534e-05 426006 8.43863 3.13575
4.89592e-05 888965 8.37796 3.41768
4.29487e-05 921999 8.53258 3.08361
9.93848e-05 401770 8.32069 3.28778
0.000126422 318041 8.29372 3.49751
6.45554e-05 607437 8.56068 3.03144
9.20881e-05 432707 8.54307 3.40432
0.000187963 285104 8.74563 3.32676
0.000137013 321067 8.48843 3.54582
0.000110196 405127 8.83424 3.65592
0.000107407 374298 7.61966 2.90432
0.000109814 359622 8.57834 2.83521
8.54084e-05 500210 8.93198 3.57068
9.86838e-05 407253 7.95007 3.26716
5.59992e-05 862390 9.14616 3.5661
0.000180592 257812 8.53923 3.54663
0.000179681 304532 9.00863 3.72103
0.000156099 315363 8.95048 3.75736
0.000145448 295233 8.2493 2.62829
0.00015744 292754 8.66874 3.26999
0.000115822 369666 8.04552 3.09821
0.000141102 343162 8.91928 3.61571
7.31372e-05 521193 7.91756 2.87814
0.00010543 406397 8.55656 3.49584
0.000112516 406075 9.31938 4.32226
0.000118927 374671 8.095 2.57452
