[MCMC_samples]
report.type: MCMC_samples
mcmc_samples:
catchability[CPUEq].q process[BHrecruitment].r0 selectivity[FishingSel].a50 selectivity[FishingSel].ato95
8.92241e-05 423127 8.62293 3.42094
3.83238e-05 1.02542e+06 8.12108 2.60238
8.15721e-05 492737 8.53468 3.35732
9.5654e-05 412970 7.6864 2.19648
0.000115657 380736 8.38901 3.03662
9.89893e-05 424368 8.4593 2.86429
0.000108375 414578 8.52226 3.0583
0.000118083 353285 8.7139 3.41884
0.000111879 421673 8.92148 4.02823
0.000124518 340555 8.58817 3.33884
7.99469e-05 526106 8.59609 3.04525
7.62038e-05 540600 8.35357 2.99512
0.000103038 425057 7.93782 3.02296
0.000126892 369555 8.46088 2.68665
8.95984e-05 511720 8.69182 3.27958
5.73269e-05 680162 8.39391 2.94156
0.000116463 356539 8.54527 3.15476
9.6266e-05 368413 8.11139 2.91803
0.000137436 339337 9.18659 3.96201
0.000140697 336527 8.29951 2.88418
0.000124581 379204 8.92529 3.76426
8.83539e-05 475609 8.34187 3.12659
0.000147417 381113 9.55489 3.56381
0.000148957 311026 8.70393 3.29437
0.000117238 376511 8.5165 3.11862
9.96179e-05 382414 7.30813 2.34913
0.000179146 276606 8.91041 3.10225
7.20428e-05 615729 8.48758 3.6879
0.000134608 358553 9.1472 4.82629
3.47226e-05 1.14647e+06 8.53271 3.642
0.000155652 318784 9.43526 4.77654
0.000132654 325969 8.32026 2.83151
0.000134243 359582 8.98126 3.53474
5.91857e-05 784128 8.59749 3.56471
0.000108871 382230 8.53319 2.97197
0.00016819 324955 9.43994 4.35591
0.00012 366144 8.02587 2.70107
0.000106735 386815 8.7711 3.94063
0.000118601 328298 7.918 3.16979
9.03492e-05 499852 9.21048 3.47219
0.000121659 330694 8.04627 2.47071
8.83413e-05 450636 7.81256 2.21572
9.01799e-05 479884 8.72372 3.52354
0.000127707 370669 9.40283 3.72122
0.000142555 326670 9.03684 3.17829
0.000160199 308101 8.54039 3.01154
0.000156159 315543 8.86977 3.85336
0.00015043 311861 8.32585 3.1394
0.000134111 317567 8.70336 4.43025
0.000101732 439690 8.55733 3.25956
9.53444e-05 401913 8.40731 2.78748
9.6481e-05 418313 8.32154 3.31557
0.000153814 311309 9.29522 4.05982
0.000173596 281218 8.48281 3.06089
0.000107683 429327 8.93968 3.88773
8.20328e-05 517063 8.7274 3.28706
0.000184001 271914 8.65788 3.10094
0.000171045 311223 9.09599 4.0238
0.000164257 322745 9.07722 3.98781
0.000196906 262019 9.45143 4.54536
0.000145005 352058 8.27788 2.91755
0.000139722 347219 8.55447 3.31131
0.000102429 419325 8.32368 3.59562
0.000111353 392944 8.56846 2.79156
5.52446e-05 666049 8.43269 2.98611
8.90926e-05 503274 8.55271 3.32205
4.4354e-05 1.01039e+06 8.88066 4.41232
0.00011402 389027 8.42546 3.68747
5.78575e-05 736490 9.00813 4.17882
9.49814e-05 401128 8.05381 3.10057
0.000130432 359289 9.01381 3.81861
0.000112855 385055 8.4141 3.00933
7.02609e-05 534262 8.21618 3.06203
0.000121051 366765 8.65858 3.2814
5.81093e-05 681374 8.22893 3.39974
6.45249e-05 636220 9.06138 3.58938
0.000136912 339158 8.22807 3.33279
0.000130258 333867 8.32925 3.39547
0.0001298 369548 8.5667 3.64246
0.000170163 290496 9.13047 3.97132
