SPM (Spatial Population Model)
Call: ..\..\Build\windows\spm -p -q -g 0 -o profile.dat 
Date: Wed Apr 22 15:16:31 2020
v2.0.2-2020-04-21 (rev. 2020-04-21 11:34:49 UTC). Copyright (c) 2008-2020, NIWA
User name: alist
Machine name: HP1040 (Windows_NT, PID=6968)

[mature-2002]
report.type: observation
label: mature-2002
type: proportions_by_category
year: 2002
time_step: one
min_age: 1
max_age: 30
age_plus_group: true
area age observed expected residual errorvalue processerror totalerror score
r5-c4 29 0 0.99927 -0.99927 0 0 0 -0
r5-c4 30 0 1 -1 0 0 0 -0
r5-c5 1 0 0 0 0 0 0 -0
r5-c5 2 0 0 0 0 0 0 -0
r5-c5 3 0 0 0 0 0 0 -0
r5-c5 4 0 0 0 0 0 0 -0
r5-c5 5 0 0.0779569 -0.0779569 0 0 0 -0
r5-c5 6 0 0.696247 -0.696247 0 0 0 -0
r5-c5 7 0 0.770107 -0.770107 0 0 0 -0
r5-c5 8 0 0.815319 -0.815319 0 0 0 -0
r5-c5 9 0 0.852123 -0.852123 0 0 0 -0
r5-c5 10 0 0.882764 -0.882764 0 0 0 -0
r5-c5 11 0 0.908083 -0.908083 0 0 0 -0
r5-c5 12 1 0.928718 0.0712821 0.149767 0 0.149767 0.0110753
r5-c5 13 0 0.945267 -0.945267 0.00333314 0 0.00333314 0.00968372
r5-c5 14 1 0.958304 0.0416963 0.675179 0 0.675179 0.0287562
r5-c5 15 1 0.968395 0.0316049 0.840138 0 0.840138 0.0269811
r5-c5 16 1 0.976093 0.0239075 2.23433 0 2.23433 0.0540662
r5-c5 17 1 0.981908 0.0180922 2.22103 0 2.22103 0.0405514
r5-c5 18 1 0.986282 0.0137177 1.60637 0 1.60637 0.0221882
r5-c5 19 1 0.989572 0.010428 3.13259 0 3.13259 0.032838
r5-c5 20 1 0.992051 0.00794938 1.2291 0 1.2291 0.00980961
r5-c5 21 1 0.993923 0.0060766 2.90218 0 2.90218 0.0176892
r5-c5 22 1 0.995343 0.00465714 1.78253 0 1.78253 0.00832087
r5-c5 23 1 0.996422 0.00357785 0.674071 0 0.674071 0.00241605
r5-c5 24 1 0.997245 0.00275469 1.87139 0 1.87139 0.00516223
r5-c5 25 1 0.997875 0.00212504 0.680761 0 0.680761 0.00144818
r5-c5 26 1 0.998358 0.00164209 1.0455 0 1.0455 0.00171821
r5-c5 27 1 0.998729 0.00127075 1.51293 0 1.51293 0.00192377
r5-c5 28 1 0.999015 0.00098458 0.79153 0 0.79153 0.000779709
r5-c5 29 1 0.999236 0.000763635 0.213149 0 0.213149 0.00016283
r5-c5 30 1 1 0 1.22638 0 1.22638 -0
r5-c6 1 0 0 0 0 0 0 -0
r5-c6 2 0 0 0 0 0 0 -0
r5-c6 3 0 0 0 0 0 0 -0
r5-c6 4 0 0 0 0 0 0 -0
r5-c6 5 0 0.0779569 -0.0779569 0 0 0 -0
r5-c6 6 0 0.669837 -0.669837 0 0 0 -0
r5-c6 7 0 0.75516 -0.75516 0 0 0 -0
r5-c6 8 0 0.804077 -0.804077 0 0 0 -0
r5-c6 9 0 0.843051 -0.843051 0.00947188 0 0.00947188 0.0175403
r5-c6 10 1 0.875451 0.124549 0.271833 0 0.271833 0.0361584
r5-c6 11 0 0.902293 -0.902293 0.00992641 0 0.00992641 0.0230867
r5-c6 12 1 0.92423 0.0757702 0.840138 0 0.840138 0.0661983
r5-c6 13 1 0.941853 0.0581469 0.976425 0 0.976425 0.0584937
r5-c6 14 1 0.955746 0.0442545 1.82122 0 1.82122 0.0824352
r5-c6 15 1 0.966495 0.0335049 1.79689 0 1.79689 0.0612364
r5-c6 16 1 0.974687 0.0253135 3.52002 0 3.52002 0.0902513
r5-c6 17 1 0.980867 0.019133 4.50773 0 4.50773 0.0870823
r5-c6 18 1 0.98551 0.0144901 4.96029 0 4.96029 0.0724011
r5-c6 19 1 0.988997 0.0110034 3.50685 0 3.50685 0.0388011
r5-c6 20 1 0.99162 0.0083798 1.17891 0 1.17891 0.00992066
r5-c6 21 1 0.9936 0.00639995 5.38326 0 5.38326 0.0345633
r5-c6 22 1 0.995099 0.00490109 3.39157 0 3.39157 0.0166632
r5-c6 23 1 0.996237 0.00376268 2.22767 0 2.22767 0.0083978
r5-c6 24 1 0.997105 0.00289529 2.56 0 2.56 0.00742268
r5-c6 25 1 0.997768 0.00223239 1.90776 0 1.90776 0.00426361
